author,title
http://www.gra.fo/publication/Michael_J__Maher,A Logic Programming View of CLP.
http://www.gra.fo/publication/Dolors_Costal,Handling Conceptual Model Validation by Planning.
http://www.gra.fo/publication/Janey_K__Cringean,Parallel Text Searching in Serial Files Using a Processor Farm.
http://www.gra.fo/publication/Alessandro_Saffiotti,A Hybrid Framework for Representing Uncertain Knowledge.
http://www.gra.fo/publication/Alessandro_Saffiotti,A Belief-Function Logic.
http://www.gra.fo/publication/Amotz_Bar_Noy,Shifting Gears: Changing Algorithms on the Fly To Expedite Byzantine Agreement.
http://www.gra.fo/publication/David_Hung_Chang_Du,Some Properties of Cartesian Product Files.
http://www.gra.fo/publication/Raymond_Reiter,Circumscription Implies Predicate Completion (Sometimes).
http://www.gra.fo/publication/Weimin_Du,Reducing Multidatabase Query Response Time by Tree Balancing.
http://www.gra.fo/publication/Kyuseok_Shim,High-Dimensional Similarity Joins.
http://www.gra.fo/publication/Wendy_Chang,Global Integration of Visual Databases.
http://www.gra.fo/publication/_Nitin___Nick___Sawhney_,HyperCafe: Narrative and Aesthetic Properties of Hypervideo.
http://www.gra.fo/publication/D__A__Turner,Miranda: A Non-Strict Functional language with Polymorphic Types.
http://www.gra.fo/publication/Robert_M__Fung,Constructor: A System for the Induction of Probabilistic Models.
http://www.gra.fo/publication/Peter_P__Chen,The Enity-Relationship Model: Toward a Unified View of Data.
http://www.gra.fo/publication/Tien_Chi_Chen,The Enity-Relationship Model: Toward a Unified View of Data.
http://www.gra.fo/publication/Qiming_Chen,The Enity-Relationship Model: Toward a Unified View of Data.
http://www.gra.fo/publication/Peter_P__Chen,The Management of Dynamically Distributed Database Windows (Extended Abstract).
http://www.gra.fo/publication/Tien_Chi_Chen,The Management of Dynamically Distributed Database Windows (Extended Abstract).
http://www.gra.fo/publication/Qiming_Chen,The Management of Dynamically Distributed Database Windows (Extended Abstract).
http://www.gra.fo/publication/Peter_P__Chen,Computer Technology and the Database User.
http://www.gra.fo/publication/Tien_Chi_Chen,Computer Technology and the Database User.
http://www.gra.fo/publication/Qiming_Chen,Computer Technology and the Database User.
http://www.gra.fo/publication/Deepinder_P__Sidhu,A Robust Distributed Solution to the Generalized Dining Philosophers' Problem.
http://www.gra.fo/publication/Viswanath_Poosala,Selectivity Estimation Without the Attribute Value Independence Assumption.
http://www.gra.fo/publication/Viswanath_Poosala,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing.
http://www.gra.fo/publication/Catriel_Beeri,Rewriting Queries Using Views in Description Logics.
http://www.gra.fo/publication/,"""Digital Libraries"
http://www.gra.fo/publication/Thomas_Seidl_____,Efficient User-Adaptable Similarity Search in Large Multimedia Databases.
http://www.gra.fo/publication/Takao_Miura,Nesting Quantification in a Visual Data Manipulation Language.
